,Date,Time,T_ambient,RH_ambient,T_upstream,RH_upstream,T_center,RH_center,T_downstream,RH_downstream,Sample_weight_g,UAI_NC_9,UAI_NC_10,UAI_NC_11,UAI_NC_12,UAI_NC_13,UAI_NC_14,UAI_NC_15
0,24/03/22,06:05:43,31.017973167775462,55.89294915753299,40.99470453469185,26.381800888884115,42.45993655562023,22.9846449246791,41.54938962634739,27.169862459293753,63.6318181533705,0,0,0,0,0,0,0
0,24/03/22,06:05:53,30.832014294386763,56.179448198047176,41.09633784153091,26.46596837436965,42.53407230222655,23.009852445712834,41.42210446251062,27.194996738135618,63.946759578392495,0,0,0,0,0,0,0
0,24/03/22,06:05:43,31.017973167775462,55.89294915753299,40.99470453469185,26.381800888884115,42.45993655562023,22.9846449246791,41.54938962634739,27.169862459293753,63.6318181533705,0,0,0,0,0,0,0
0,24/03/22,06:05:53,30.832014294386763,56.179448198047176,41.09633784153091,26.46596837436965,42.53407230222655,23.009852445712834,41.42210446251062,27.194996738135618,63.946759578392495,0,0,0,0,0,0,0
0,24/03/22,06:06:03,31.10860275081412,56.31985958336947,40.913459412661766,26.632167114744615,42.41845950236676,23.055738678916615,41.51589353060088,27.339173992823007,64.05552423331285,0,0,0,0,0,0,0
0,24/03/22,06:06:13,31.193101352042035,56.31952388999009,40.95813226688696,26.735084601347726,42.50850589445267,23.14434952404198,41.58568845663598,27.34168864141039,64.09315240938382,0,0,0,0,0,0,0
0,24/03/22,06:06:23,31.182676546733173,56.3228960825739,41.025397895896305,26.641505494207472,42.54029300572235,23.12729630036928,41.5060668698589,27.318800456452397,64.06010187030445,0,0,0,0,0,0,0
0,24/03/22,06:06:33,31.150729218168802,56.32568844113877,41.04011225224211,26.646998658597393,42.42057864311805,23.108534092219717,41.559968240259195,27.32884684376996,64.09104669636766,0,0,0,0,0,0,0
0,24/03/22,06:06:43,31.27520737500234,56.32176693211597,41.09392817341853,26.590162717709703,42.42133059628787,23.121961827395072,41.49186520885617,27.33757487163394,63.92689263384893,0,0,0,0,0,0,0
0,24/03/22,06:06:53,31.193667453150002,56.394307219642826,41.06191889416688,26.68316809434701,42.53978031037927,23.131947179552746,41.59155027339162,27.386158858904768,63.985852598300724,0,0,0,0,0,0,0
0,24/03/22,06:07:03,31.33144364544413,56.60805234957052,40.96604486501485,26.774220345867896,42.52065677408318,23.22000870823912,41.54564695034307,27.41834880222969,63.89512383312726,0,0,0,0,0,0,0
0,24/03/22,06:07:13,31.242095800763114,56.674000839829496,41.056296335238,26.831764294610284,42.46764407561086,23.29328752120063,41.618330060144075,27.53752605542696,64.0424321915169,0,0,0,0,0,0,0
0,24/03/22,06:07:23,31.287650918224507,56.68117247111632,41.01827143062779,26.95392006361008,42.44472659377614,23.374391041659777,41.55089353268704,27.635926940198356,63.8826726605101,0,0,0,0,0,0,0
0,24/03/22,06:07:33,30.830711193723157,56.66888914518887,41.02001459479419,26.969117818422188,42.4985254251078,23.39945207830978,41.60563230548097,27.668641785898313,63.92524468453197,0,0,0,0,0,0,0
0,24/03/22,06:07:43,30.733576788519425,56.66873655728915,41.15155512997836,27.013636864044482,42.555844764461796,23.457398859107425,41.59098630851426,27.718946964677986,64.02366387985134,0,0,0,0,0,0,0
0,24/03/22,06:07:53,30.847192212771905,56.669255356148206,40.92162835846116,27.052406397605328,42.4129223926617,23.472950617846884,41.45423337067564,27.698463565019583,63.85465752212152,0,0,0,0,0,0,0
0,24/03/22,06:08:03,30.832099743610602,56.816395867848136,41.11587153410146,27.042506494671493,42.37674319128651,23.55481097428864,41.520610327757026,27.765419135416693,64.00398004078747,0,0,0,0,0,0,0
0,24/03/22,06:08:13,30.787206857634,56.87451659885148,40.971667423943714,27.147694489222435,42.431362335167066,23.547157165238687,41.57649412015044,27.8317765612469,64.12473810462583,0,0,0,0,0,0,0
0,24/03/22,06:08:23,30.898023819805612,56.88597595012044,41.03985590457057,27.216346837064435,42.4348828431894,23.613648868420654,41.46558102760201,27.874171583305095,63.897778862582385,0,0,0,0,0,0,0
0,24/03/22,06:08:33,31.045113977498644,57.03569519732566,40.95845697393757,27.279811196315958,42.50454105046636,23.682740669413846,41.47022946537908,27.90424971009789,63.85236870362571,0,0,0,0,0,0,0
